Date,Time,Speed_Sensor_2282,Speed_Sensor_2293
2015-02-07,1800,69.7,17.8
2015-02-10,1600,69.7,76.3
2015-02-03,945,69.7,74.5
2015-02-03,1415,69.7,12.9
2015-02-05,1400,69.7,72.8
2015-02-03,1000,69.7,67.9
2015-02-04,1030,69.7,74.8
2015-02-05,1615,70,70
2015-02-08,1145,70,69.4
2015-02-07,900,70,75.5
2015-02-06,1700,70,45.6
2015-02-07,1045,70,74.5
2015-02-08,1400,70,77.7
2015-02-06,1645,70,75.5
2015-02-07,1030,70,68.5
2015-02-08,1415,70,75.2
2015-02-07,915,70,74.8
2015-02-05,1215,70.3,75.9
2015-02-07,1415,70.3,73.8
2015-02-08,1315,70.3,72.8
2015-02-03,1700,70.3,70.3
2015-02-04,1000,70.3,70.6
2015-02-07,1200,70.3,78.1
2015-02-05,1715,70.6,71.2
2015-02-06,1445,70.6,71.8
2015-02-05,1345,70.6,75.2
2015-02-10,1345,70.6,71.5
2015-02-08,1345,70.6,73.1
2015-02-10,945,70.9,74.2
2015-02-07,1515,70.9,29.6
2015-02-10,1300,70.9,71.5
2015-02-09,945,70.9,75.5
2015-02-07,1230,70.9,63.9
2015-02-09,1000,70.9,73.5
2015-02-06,1530,71.2,73.8
2015-02-07,1430,71.2,56.1
2015-02-06,1745,71.2,70.9
2015-02-06,1800,71.2,74.2
2015-02-08,1445,71.2,76.3
2015-02-03,1600,71.5,70.6
2015-02-09,1415,71.5,74.5
2015-02-04,1130,71.5,70.9
2015-02-10,1645,71.5,77
2015-02-07,1530,71.5,29.6
2015-02-09,1430,71.5,35.1
2015-02-07,1700,71.5,22
2015-02-09,1345,71.5,76.3
2015-02-09,1400,71.5,72.5
2015-02-09,1330,71.5,74.8
2015-02-09,1315,71.5,74.2
2015-02-03,1715,71.5,70.3
2015-02-04,1015,71.5,72.8
2015-02-10,1145,71.5,67.9
2015-02-10,1130,71.5,68.8
2015-02-03,1430,71.8,24
2015-02-06,1630,71.8,72.8
2015-02-10,1415,71.8,72.2
2015-02-04,1645,71.8,71.2
2015-02-04,1700,71.8,32.2
2015-02-03,1800,71.8,57.1
2015-02-10,1800,71.8,77
2015-02-10,1100,72.2,70.9
2015-02-06,1615,72.2,73.1
2015-02-09,1500,72.2,35.1
2015-02-09,1515,72.2,72.8
2015-02-09,1445,72.2,30.5
2015-02-04,1100,72.2,76.3
2015-02-05,1245,72.2,65.1
2015-02-07,1345,72.2,62.9
